17310,5257,3746,3334,4261,5418,5859,6582,5793,4295,3852,5176,11931,8458,3071,1827,1153,517,305,146,12,1,0,0,0,
10,2428,14365,8307,10696,20769,17368,4674,3675,2953,2555,2504,2440,1727,1265,1032,690,513,263,61,9,0,0,0,0,
0,0,30,2613,34891,30158,7961,3955,2562,1854,1410,1363,1231,1405,1400,1228,1188,1268,1193,924,707,524,349,85,5,
626,1149,1316,924,781,563,480,431,457,793,2948,12696,44746,19802,9243,122,115,136,129,171,125,156,223,155,17,
813,814,1046,645,316,258,339,1846,7416,22459,38104,19234,522,280,481,699,498,344,343,384,356,302,505,275,25,
880,737,1094,1236,1117,896,675,768,1010,4968,18016,30326,25208,5314,376,342,765,892,570,376,393,722,1112,470,41,
1121,695,736,687,408,276,246,259,220,181,205,947,7994,59684,22604,560,343,281,269,394,143,46,5,0,0,
1046,828,431,954,1281,1044,548,557,3148,17263,22017,29647,14289,678,397,399,547,569,550,510,384,384,481,293,59,
2291,895,472,428,361,285,242,335,382,596,489,451,642,598,432,205,190,1000,8941,17452,33320,16953,10738,601,5,
383,2029,1184,894,1239,1268,1233,1698,2311,582,715,670,810,700,603,387,383,348,446,596,10182,24887,43831,880,45,
317,611,578,663,783,917,872,617,613,15997,28395,17406,8907,11261,2281,1509,1238,1259,1250,1369,547,210,417,257,30,
537,1387,1030,839,654,443,347,457,1376,2201,3639,7745,13853,22477,38180,1172,253,141,131,269,298,273,327,213,62,
3207,2041,983,462,409,459,408,359,446,612,798,1072,1061,840,565,297,111,74,185,2181,29642,32530,19221,291,50,
778,926,715,464,640,771,786,752,779,707,731,752,706,623,506,447,391,433,489,12074,38811,25396,8710,624,293,
3449,957,168,99,88,64,48,53,47,30,45,45,43,47,37,48,63,62,854,11144,54594,22956,2957,321,85,
509,379,259,428,363,334,352,328,418,396,390,461,794,691,528,639,698,417,2366,10180,34128,27092,15824,284,46,
1661,1165,941,964,1649,1746,3283,7876,15740,22582,20022,14164,3422,1302,871,512,105,41,45,39,52,83,35,4,0,
158,500,958,971,501,317,213,485,7732,14838,23019,26903,17940,2284,514,439,226,111,74,45,28,15,17,15,1,
1252,2116,2008,1595,2005,2980,3581,5125,8402,12749,17925,16153,9472,4699,2264,1506,874,561,359,267,225,398,1498,262,28,
1776,3804,4676,5287,4995,4657,4575,5320,6712,8572,9801,8207,6011,4278,3146,2591,2189,2033,1879,1691,1947,2285,1654,191,27,
1935,4250,4884,5749,7189,8363,9421,9517,9547,9855,10080,7309,3985,2290,1233,775,415,271,149,125,103,127,500,217,15,
703,1668,2195,2867,2867,3115,2962,4220,10394,21609,19195,8241,4396,3125,2607,2108,1682,1204,945,729,472,317,510,164,9,
2060,2867,2951,3353,3933,4668,5558,6434,7508,8425,8554,8238,7818,7116,5676,4075,2655,1861,1648,1132,572,456,436,264,46,
1800,7618,8904,15858,17664,13914,9907,5383,2262,1237,823,666,586,625,569,577,635,747,988,1443,1911,1863,1769,533,22,
1096,1129,2017,3623,4916,5741,6844,8343,13997,20211,11184,2890,1075,753,873,550,365,327,315,348,704,3572,6953,462,16,
1012,727,689,905,1144,1157,1246,1372,1915,4696,9500,12839,12921,11552,9245,7040,5322,4468,3692,2766,1641,1151,1241,61,2,
1510,2841,4729,5473,6154,7215,8017,8077,8457,9153,9037,7279,5002,3364,2486,1722,1127,737,663,708,761,1206,2334,241,11,
6596,9395,9527,10719,11605,11218,9920,7921,5910,3601,1936,1183,836,775,746,823,732,786,803,863,720,648,860,176,5,
979,6694,16616,11136,3561,3720,5669,5343,6167,8023,10205,9237,3241,1430,1067,908,759,729,636,522,324,321,918,99,0,
